OSNO (76, 892) 10 2 4 2 6 2 8 4 14 4 10 2 2 2 12 5 1 18
CS (72, 840) (53, 82) - 1 5 24 5 1 31 6 27 1 6 1 27 5 1 33 6 27 1 6 1 26 1 6 1 27 6 33 1 5 27 1 6 1 26 1 6 1 27 5 1 33 6 27 1 6 1 26 1 6 1 27 6 33 1 5 27 1 6 1 27 6 31 1 5 24 5 1 31 6 28 6 31
CS (26, 324) (54, 337) - 1 5 24 4 16 4 27 1 6 1 27 4 16 4 24 5 1 31 6 30 4 12 4 30 6 31
CS (38, 548) (54, 376) - 1 5 24 6 32 6 24 5 1 31 6 26 6 30 6 26 5 1 33 6 22 4 18 4 18 4 22 6 33 1 5 26 6 30 6 26 6 31
CS (40, 476) (54, 243) - 1 5 24 4 16 2 6 2 14 2 6 2 16 4 24 5 1 33 6 26 4 16 4 24 5 1 31 6 30 6 31 1 5 24 4 16 4 26 6 33
CS (54, 588) (54, 104) - 1 5 20 2 2 2 20 4 22 5 1 30 1 5 22 4 20 2 2 2 20 5 1 29 6 33 1 5 25 1 6 1 32 1 5 24 4 20 4 20 4 24 5 1 32 1 6 1 25 5 1 33 6 29
CS (64, 704) (54, 12) - 1 5 25 1 6 1 31 6 30 6 32 6 28 5 1 34 1 5 28 6 32 6 30 6 31 1 6 1 25 5 1 33 6 28 4 12 2 10 2 10 2 10 2 12 2 6 2 16 2 6 2 12 2 10 2 10 2 10 2 12 4 28 6 33
CS (40, 548) (55, 266) - 1 5 22 4 18 4 18 4 22 6 33 1 5 26 6 30 6 26 5 1 33 6 22 4 18 4 18 4 22 5 1 31 6 26 6 30 6 26 6 31
CS (72, 872) (55, 59) - 1 5 20 4 18 4 22 4 16 2 4 2 16 4 24 6 33 1 5 26 6 33 1 5 27 1 5 20 4 18 4 22 4 18 4 20 5 1 27 5 1 33 6 26 5 1 33 6 24 4 16 2 4 2 16 4 22 4 18 4 20 5 1 27 6 32 6 26 6 32 6 27
CS (24, 292) (56, 108) - 1 5 26 6 35 1 5 28 4 12 2 10 2 12 4 28 5 1 35 6 26 5 1 32
CS (36, 436) (56, 453) - 1 5 20 2 2 2 20 4 22 4 20 4 22 4 20 2 2 2 20 5 1 29 6 34 6 28 5 1 34 1 5 28 6 34 6 29
CS (36, 484) (56, 301) - 1 5 26 4 14 4 28 6 32 6 28 4 14 4 26 5 1 33 6 28 4 14 4 26 5 1 34 1 5 26 4 14 4 28 6 33
CS (40, 516) (56, 401) - 1 5 22 4 14 4 20 4 16 4 20 4 14 4 22 5 1 29 6 24 6 30 6 22 5 1 29 6 24 6 29 1 5 22 6 30 6 24 6 29
CS (44, 584) (56, 218) - 1 5 26 4 16 4 24 4 18 4 24 4 16 4 26 5 1 33 6 28 5 1 34 1 5 28 6 33 1 5 26 5 1 33 6 28 5 1 34 1 5 28 6 33
CS (54, 612) (56, 192) - 1 5 22 4 18 4 25 1 6 1 29 6 31 1 5 22 4 22 5 1 31 6 29 1 6 1 25 4 18 4 22 5 1 29 4 12 4 29 1 6 1 25 4 16 4 25 1 6 1 29 4 12 4 29
CS (56, 652) (56, 35) - 1 5 23 1 6 1 27 6 24 4 14 4 20 4 16 4 20 4 14 4 24 6 27 1 6 1 23 5 1 29 6 25 1 6 1 25 6 28 6 24 5 1 30 1 5 24 6 28 6 25 1 6 1 25 6 29
CS (60, 708) (56, 38) - 1 5 22 4 18 4 20 4 18 4 20 4 18 4 22 5 1 31 6 25 1 6 1 27 4 12 4 26 5 1 32 1 5 24 5 1 31 6 26 6 31 1 5 24 5 1 32 1 5 26 4 12 4 27 1 6 1 25 6 31
OSO (19, 231) (57, 396) - 1 5 26 4 16 4 26 5 1 33 6 29 1 6 1 27 5 1 34
CS (26, 296) (57, 815) - 1 5 20 4 20 5 1 27 6 33 1 5 27 1 6 1 26 1 6 1 27 5 1 33 6 27
CS (28, 436) (57, 633) - 1 5 26 6 34 6 28 6 34 6 26 5 1 31 6 32 6 28 5 1 34 1 5 28 6 32 6 31
